Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Response Time,Date/Time,Consecutive Rounds
66666,L,Z,right,right,yes,EASY,14,0.266479306,2015-06-30T18:11:30.185,1
66666,I,X,right,right,yes,EASY,15,0.010599338,2015-06-30T18:11:31.430,2
66666,I,F,left,right,no,HARD,3,0.025691827,2015-06-30T18:11:32.673,3
66666,J,X,right,right,yes,EASY,14,0.023282109,2015-06-30T18:11:33.957,4
66666,F,W,right,right,yes,EASY,17,0.028811417,2015-06-30T18:11:35.178,5
66666,F,W,right,right,yes,EASY,17,0.012069544,2015-06-30T18:11:36.432,6
66666,T,F,left,right,no,EASY,14,0.772372959,2015-06-30T18:11:38.403,7
66666,H,P,right,right,yes,MEDIUM,8,0.016676446,2015-06-30T18:11:39.655,8
66666,K,U,right,right,yes,MEDIUM,10,0.02883964,2015-06-30T18:11:40.945,9
66666,G,X,right,right,yes,EASY,17,0.010214894,2015-06-30T18:11:42.177,10
66666,X,T,left,right,no,HARD,4,0.021926081,2015-06-30T18:11:43.431,11
66666,L,U,right,right,yes,MEDIUM,9,0.018067967,2015-06-30T18:11:44.712,12
66666,O,R,right,right,yes,HARD,3,0.008817814,2015-06-30T18:11:45.937,13
66666,B,E,right,right,yes,HARD,3,0.030669486,2015-06-30T18:11:47.195,14
66666,W,H,left,right,no,EASY,15,0.015972559,2015-06-30T18:11:48.465,15
66666,H,X,right,right,yes,EASY,16,0.020180051,2015-06-30T18:11:49.717,16
66666,D,O,right,right,yes,MEDIUM,11,0.014486104,2015-06-30T18:11:50.970,17
66666,T,X,right,right,yes,HARD,4,0.028182367,2015-06-30T18:11:52.226,18
66666,Y,K,left,right,no,EASY,14,0.016107264,2015-06-30T18:11:53.450,19
66666,G,O,right,right,yes,MEDIUM,8,0.013213038,2015-06-30T18:11:54.720,20
66666,B,P,right,right,yes,EASY,14,0.106636966,2015-06-30T18:11:56.056,21
66666,I,Q,right,right,yes,MEDIUM,8,0.013512381,2015-06-30T18:11:57.320,22
66666,Y,I,left,right,no,EASY,16,0.017136152,2015-06-30T18:11:58.583,23
66666,N,P,right,right,yes,HARD,2,0.007501557,2015-06-30T18:11:59.845,24
66666,I,Q,right,right,yes,MEDIUM,8,0.008913176,2015-06-30T18:12:01.070,25
66666,E,O,right,right,yes,MEDIUM,10,7.94971E-4,2015-06-30T18:12:02.324,26
66666,Q,C,left,right,no,EASY,14,0.013050536,2015-06-30T18:12:03.552,27
66666,K,M,right,right,yes,HARD,2,0.29878321,2015-06-30T18:12:05.070,28
66666,M,Q,right,right,yes,HARD,4,0.110267152,2015-06-30T18:12:06.438,29
66666,O,Y,right,right,yes,MEDIUM,10,0.168398443,2015-06-30T18:12:07.814,30
66666,S,B,left,right,no,EASY,17,0.036016623,2015-06-30T18:12:09.114,31
66666,I,Y,right,right,yes,EASY,16,0.098637643,2015-06-30T18:12:10.461,32
66666,J,Y,right,right,yes,EASY,15,0.023249181,2015-06-30T18:12:11.724,33
66666,B,E,right,right,yes,HARD,3,0.135552298,2015-06-30T18:12:13.096,34
66666,Q,C,left,right,no,EASY,14,0.374571083,2015-06-30T18:12:14.737,35
66666,K,Y,right,right,yes,EASY,14,0.06734766,2015-06-30T18:12:16.051,36
66666,A,P,right,right,yes,EASY,15,0.043842754,2015-06-30T18:12:17.318,37
66666,L,P,right,right,yes,HARD,4,0.242047717,2015-06-30T18:12:18.774,38
66666,Q,O,left,right,no,HARD,2,0.22817142,2015-06-30T18:12:20.223,39
66666,O,W,right,right,yes,MEDIUM,8,0.061458711,2015-06-30T18:12:21.539,40
