Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
8,C,B,left,left,yes,1,2.878307322,2015-06-29T15:24:22.712,1
8,C,Z,right,left,no,23,0.162497519,2015-06-29T15:24:22.891,2
8,F,R,right,left,no,12,0.170778654,2015-06-29T15:24:23.069,3
8,D,P,right,left,no,12,1.871572941,2015-06-29T15:24:24.944,4
8,V,B,left,left,yes,20,0.364453262,2015-06-29T15:24:25.315,5
8,I,Y,right,left,no,16,0.153831943,2015-06-29T15:24:25.517,6
8,R,H,left,left,yes,10,0.161623008,2015-06-29T15:24:25.686,7
8,I,Q,right,left,no,8,0.160749779,2015-06-29T15:24:25.854,8
8,Y,C,left,left,yes,22,0.151895188,2015-06-29T15:24:26.031,9
8,I,Y,right,left,no,16,0.136124473,2015-06-29T15:24:26.178,10
8,Q,Z,right,left,no,9,0.170828686,2015-06-29T15:24:26.356,11
8,E,F,right,left,no,1,0.154686784,2015-06-29T15:24:26.517,12
8,V,P,left,left,yes,6,0.216452108,2015-06-29T15:24:26.741,13
8,X,S,left,left,yes,5,1.803341789,2015-06-29T15:24:28.552,14
8,P,D,left,left,yes,12,2.045199637,2015-06-29T15:24:30.604,15
8,H,S,right,left,no,11,0.598478136,2015-06-29T15:24:31.210,16
8,L,Q,right,left,no,5,0.334962334,2015-06-29T15:24:31.552,17
8,Y,C,left,left,yes,22,0.189119878,2015-06-29T15:24:31.750,18
8,Q,L,left,left,yes,5,0.166572017,2015-06-29T15:24:31.924,19
8,G,H,right,left,no,1,0.152372856,2015-06-29T15:24:32.084,20
8,W,R,left,left,yes,5,0.162160972,2015-06-29T15:24:32.253,21
8,X,C,left,left,yes,21,1.059950874,2015-06-29T15:24:33.320,22
8,F,O,right,left,no,9,0.774009942,2015-06-29T15:24:34.102,23
8,Z,M,left,left,yes,13,0.161288598,2015-06-29T15:24:34.270,24
8,C,O,right,left,no,12,0.166375305,2015-06-29T15:24:34.441,25
8,I,T,right,left,no,11,0.150916335,2015-06-29T15:24:34.599,26
8,C,H,right,left,no,5,0.143990373,2015-06-29T15:24:34.751,27
8,W,F,left,left,yes,17,0.143630732,2015-06-29T15:24:34.903,28
8,Z,E,left,left,yes,21,0.141439536,2015-06-29T15:24:35.052,29
8,T,E,left,left,yes,15,0.152567857,2015-06-29T15:24:35.212,30
8,G,J,right,left,no,3,0.155288465,2015-06-29T15:24:35.375,31
8,K,R,right,left,no,7,0.323447431,2015-06-29T15:24:35.703,32
8,N,O,right,left,no,1,0.368312659,2015-06-29T15:24:36.079,33
8,T,I,left,left,yes,11,0.458221863,2015-06-29T15:24:36.545,34
8,N,F,left,right,no,8,35.186464698,2015-06-29T15:25:11.736,35
8,U,X,right,right,yes,3,1.504071504,2015-06-29T15:25:13.248,36
8,M,E,left,left,yes,8,1.422283498,2015-06-29T15:25:14.681,37
8,P,E,left,left,yes,11,0.898306911,2015-06-29T15:25:15.586,38
8,A,C,right,right,yes,2,0.725714235,2015-06-29T15:25:16.321,39
8,T,X,right,left,no,4,0.759810352,2015-06-29T15:25:17.090,40
