Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time
92,G,W,right,right,yes,16,0.94022189,2015-06-25T20:33:18.530
92,E,S,right,right,yes,14,0.600940453,2015-06-25T20:33:20.367
92,P,D,left,left,yes,12,1.048404326,2015-06-25T20:33:22.667
92,B,Q,right,right,yes,15,0.546742968,2015-06-25T20:33:24.467
92,G,R,right,right,yes,11,0.682592899,2015-06-25T20:33:26.401
92,P,X,right,right,yes,8,0.524425602,2015-06-25T20:33:28.179
92,W,A,left,left,yes,22,0.544101901,2015-06-25T20:33:29.975
92,T,N,left,left,yes,6,0.536655081,2015-06-25T20:33:31.763
92,Q,G,left,left,yes,10,0.547286918,2015-06-25T20:33:33.562
92,I,V,right,right,yes,13,0.920344177,2015-06-25T20:33:35.736
92,C,D,right,right,yes,1,0.958091863,2015-06-25T20:33:37.944
92,P,X,right,right,yes,8,0.740171686,2015-06-25T20:33:39.937
92,V,G,left,left,yes,15,0.64557604,2015-06-25T20:33:41.834
92,K,I,left,left,yes,2,0.453360092,2015-06-25T20:33:43.539
92,N,F,left,right,no,8,0.65388326,2015-06-25T20:33:45.445
92,B,S,right,right,yes,17,0.653140459,2015-06-25T20:33:47.351
92,G,P,right,left,no,9,0.590186312,2015-06-25T20:33:49.192
92,D,Q,right,right,yes,13,0.577583936,2015-06-25T20:33:51.021
92,B,A,left,left,yes,1,0.689759619,2015-06-25T20:33:52.962
92,Y,Z,right,right,yes,1,1.191348278,2015-06-25T20:33:55.406
92,P,I,left,right,no,7,0.699067501,2015-06-25T20:33:57.356
92,U,H,left,left,yes,13,0.660484218,2015-06-25T20:33:59.268
92,V,K,left,left,yes,11,0.681683321,2015-06-25T20:34:01.202
92,T,U,right,right,yes,1,0.479330308,2015-06-25T20:34:02.933
92,I,V,right,right,yes,13,0.942518286,2015-06-25T20:34:05.128
92,M,V,right,right,yes,9,0.567170192,2015-06-25T20:34:06.947
92,X,H,left,left,yes,16,0.513236984,2015-06-25T20:34:08.713
92,C,Y,right,right,yes,22,0.415884381,2015-06-25T20:34:10.381
92,T,S,left,left,yes,1,0.469989497,2015-06-25T20:34:12.102
92,V,Q,left,right,no,5,0.505740987,2015-06-25T20:34:13.861
92,A,O,right,right,yes,14,0.49981569,2015-06-25T20:34:15.613
92,A,X,right,right,yes,23,0.467069185,2015-06-25T20:34:17.333
92,T,A,left,left,yes,19,0.446030444,2015-06-25T20:34:19.030
92,H,J,right,right,yes,2,0.367740484,2015-06-25T20:34:20.650
92,H,U,right,right,yes,13,0.601294962,2015-06-25T20:34:22.503
92,P,Q,right,right,yes,1,0.638335341,2015-06-25T20:34:24.393
92,Z,V,left,right,no,4,0.436907299,2015-06-25T20:34:26.082
92,X,N,left,left,yes,10,0.787184064,2015-06-25T20:34:28.121
92,X,M,left,left,yes,11,0.45893473,2015-06-25T20:34:29.832
92,H,Z,right,right,yes,18,0.449186811,2015-06-25T20:34:31.532
